longitude,latitude,sq,cluster,x,y
139.675970723185,35.7094608636388,1,3,-32222.51410977682,-14238.8351869512
139.702037644568,35.7163864806887,3,3,-31457.635450878646,-11879.160557738187
139.632327901384,35.725960098966,10,3,-30384.832742391154,-18184.07817601563
139.647094186795,35.7505149208175,12,3,-27663.27698406391,-16843.06360710732
139.599791204084,35.6722750906002,15,3,-36334.271360232495,-21141.701452581496
139.582858769294,35.7022918737809,26,3,-33000.35998784425,-22666.042275707227
139.68238297009,35.7501226225653,33,3,-27712.286620853934,-13651.687101577263
139.54438670243,35.7410850088105,36,3,-28686.961299033836,-26134.808199313968
139.571559495052,35.8247190860301,42,3,-19415.140469177626,-23652.274446204454
139.629120189705,35.6790713349009,43,3,-35586.196221018676,-18485.08617118853
139.69085034086,35.769420021685,45,3,-25572.50997757446,-12882.801051520633
139.64632290004,35.7211061127422,46,3,-30925.851660170127,-16919.036919439583
139.551051598917,35.7717889482893,52,3,-25282.304075838532,-25522.169496072554
139.566215219775,35.7325473258335,64,3,-29639.757439584006,-24163.024552124698
139.737325938122,35.722968045266,69,3,-30731.155584624037,-8685.687530751016
139.683504081868,35.7339766410779,70,3,-29503.72980662482,-13553.031882517564
139.677492492092,35.7573013197624,85,3,-26915.165166366845,-14092.707989988325
139.689516071004,35.6645746528071,91,3,-37204.17051120289,-13020.485685046817
139.651177128135,35.7183710812469,101,3,-31230.11001203861,-16480.432354518598
139.643074500914,35.6775893571917,111,3,-35753.146094149444,-17222.2784429622
139.586362571175,35.7235695390841,115,3,-30640.556819923222,-22343.034629538266
139.655010533437,35.8182009842587,116,3,-20155.239419701975,-16113.459427061503
139.736267681474,35.7504613867972,117,3,-27680.865325049963,-8778.408847466304
139.727396789074,35.7611029494027,123,3,-26499.423341415357,-9579.39803455864
139.736206375255,35.6865795145992,126,3,-34768.09023380559,-8790.967173814544
139.565294002972,35.7689775056881,130,3,-25597.831928776577,-24235.309233406457
139.678075658556,35.6805163647474,132,3,-35433.98934924556,-14053.448648953254
139.541972216373,35.7070297781999,134,3,-32464.513550120406,-26364.413786590223
139.605080559584,35.6585002715257,153,3,-37863.602593277115,-20666.424555762802
139.54243979259,35.7506258813063,160,3,-27627.941502897535,-26307.764383407655
139.615288225251,35.7037339528355,161,3,-32847.37394991657,-19731.063039727505
139.700448054287,35.7742831233521,162,3,-25034.19804568775,-12014.278242531977
139.660274817849,35.6738682766572,177,3,-36168.84954037052,-15666.026924299178
139.692315955336,35.767347805356,189,3,-25802.60100952722,-12750.616097641454
139.609259124803,35.7232373369203,198,3,-30682.38398490334,-20271.702047551
139.575266009195,35.7535273776717,203,3,-27314.348214391153,-23338.180431783214
139.623466984654,35.7027331343265,213,3,-32960.02030682983,-18991.197314577123
139.668319957959,35.7203452716604,214,3,-31013.830918975174,-14929.079256618834
139.70575413169,35.8003465221067,218,3,-22143.256345883943,-11530.785561732393
139.719403783132,35.8099544510818,228,3,-21078.83167898655,-10295.870526472387
139.64775254181,35.7542048263459,232,3,-27254.018796804827,-16782.748610166003
139.705209587121,35.7484575980316,244,3,-27899.947415427305,-11587.52787656181
139.685263295528,35.7037105663198,247,3,-32861.77512469655,-13398.96550056641
