"longitude","latitude","sq","cluster"
139.675970723185,35.7094608636388,1,3
140.060915481764,35.6373501695588,2,6
139.702037644568,35.7163864806887,3,3
140.045165045036,35.6743343361499,4,6
139.605821733623,35.3228690849293,5,10
140.066692796175,35.8666712892386,6,5
139.961066594094,35.9622915283232,7,5
139.999920288861,35.946852771838,8,5
139.540672614525,35.6487463674424,9,9
139.632327901384,35.725960098966,10,3
139.517982327565,35.4603439759905,11,10
139.647094186795,35.7505149208175,12,3
139.721358232652,35.5297407098425,13,7
139.670606843948,35.4940201340125,14,7
139.599791204084,35.6722750906002,15,3
139.452143333791,35.4951243478844,16,4
140.029189221886,35.7003771410099,17,6
139.252705435614,35.363194636077,18,4
139.835879054486,35.8090174536175,19,8
139.888484542617,35.7722257075698,20,8
139.745778229369,35.56428753082,21,7
139.950437652943,35.8048934493037,22,5
139.539036735689,35.7803252771551,23,1
139.51687741126,35.9017508196767,24,1
139.681415526273,35.8893944877511,25,2
139.582858769294,35.7022918737809,26,3
139.628686087411,35.3403186717469,27,10
139.611427150719,35.4699982939966,28,10
139.357459187861,35.4553747807319,29,4
139.955346006707,35.8604859719568,30,5
139.598886445974,35.3900748908405,31,10
139.653001831135,35.4999556939826,32,7
139.68238297009,35.7501226225653,33,3
139.683616084311,35.5206355807812,34,7
139.808194384347,35.7072933038808,35,8
139.54438670243,35.7410850088105,36,3
139.369566317075,35.6422884154199,37,9
139.664477385219,35.42908846399,38,10
139.326894623772,35.3516027595342,39,4
139.651960086175,35.8461743554188,40,2
139.82255910517,35.7657465613762,41,8
139.571559495052,35.8247190860301,42,3
139.629120189705,35.6790713349009,43,3
139.569371292755,35.5035567581828,44,10
139.69085034086,35.769420021685,45,3
139.64632290004,35.7211061127422,46,3
139.962164203427,35.7566792140482,47,5
139.659759909669,35.6385183251622,48,7
139.823250413316,35.822240976145,49,8
139.419467389066,35.3276914645492,50,4
139.651153935843,35.6303168809307,51,7
139.551051598917,35.7717889482893,52,3
139.370524302681,35.4365956177307,53,4
139.532489452769,35.3407974824287,54,10
139.857633055232,35.7918561194119,55,8
139.495422512466,35.5049090920001,56,10
139.865732233462,35.9411566276117,57,5
139.951235883785,35.347186248183,58,6
139.606286453288,35.4461939044196,59,10
139.901985829313,35.3347553200065,60,10
139.474028626345,35.7155246156465,61,9
139.51074175886,35.414473548813,62,10
139.417983086075,35.4672821141993,63,4
139.566215219775,35.7325473258335,64,3
139.604542979267,35.6491908714478,65,7
139.880045815642,35.6594520694768,66,8
139.759756275118,35.9509145242559,67,2
139.88971038099,35.9338686547105,68,5
139.737325938122,35.722968045266,69,3
139.683504081868,35.7339766410779,70,3
139.829439704275,35.7020671122265,71,8
139.633716880526,35.9093420378859,72,2
139.881478944962,35.6607679367696,73,8
139.523795103391,35.5355558418925,74,10
139.64037580162,35.6213863863743,75,7
139.323534283148,35.6259876714057,76,9
139.674376932055,35.8503092692855,77,2
139.408562479802,35.9477110926584,78,1
139.802995686984,35.6969002059937,79,8
139.795460883327,35.7898852527616,80,8
139.702827886378,35.6058630652536,81,7
139.715476169877,35.8203190303687,82,2
139.421334012491,35.8028111758007,83,1
139.696381172603,35.5725074095152,84,7
139.677492492092,35.7573013197624,85,3
139.626272398081,35.5475581351469,86,7
139.797238473552,35.7452628456883,87,8
139.797995096795,35.8732168267455,88,2
139.80498211879,35.772109284314,89,8
139.626674641168,35.3191416833512,90,10
139.689516071004,35.6645746528071,91,3
139.649771588183,35.8412081818825,92,2
139.786433705284,35.7997516292171,93,8
140.012936895446,35.8780565561136,94,5
139.789803674399,35.7232624395254,95,8
139.752050898344,35.6480190620738,96,7
139.879496082496,35.6656724211892,97,8
139.521097713625,35.7416960832916,98,9
139.83190454845,35.7569881958865,99,8
139.662924293931,35.5433090589568,100,7
139.651177128135,35.7183710812469,101,3
139.351467643804,35.5548272317297,102,9
139.569222322931,35.637213294997,103,7
139.63458786751,35.8467766092414,104,2
139.463802684376,35.4670347458618,105,4
139.744850111859,35.7615643949568,106,8
139.570424910119,35.4335329460391,107,10
139.805978061428,35.6624973273206,108,8
139.973448754814,35.8828789112665,109,5
139.615464026877,35.3979819557469,110,10
139.643074500914,35.6775893571917,111,3
139.350111565129,35.3415353107266,112,4
139.390265782111,35.6219172934207,113,9
139.60101666867,35.4190050866189,114,10
139.586362571175,35.7235695390841,115,3
139.655010533437,35.8182009842587,116,3
139.736267681474,35.7504613867972,117,3
139.403083723062,35.9493889171048,118,1
139.499161910431,35.3327543801062,119,4
139.393293925827,36.0468854158472,120,1
139.602898204324,35.4021985613252,121,10
139.795709760511,35.8833554440911,122,2
139.727396789074,35.7611029494027,123,3
139.661386923926,35.6408719499942,124,7
139.52809044816,35.6354135222805,125,9
139.736206375255,35.6865795145992,126,3
139.767368111487,35.8266927087915,127,8
140.091390689777,35.5121943323321,128,6
139.698039009015,35.8352328040425,129,2
139.565294002972,35.7689775056881,130,3
139.625845195903,35.3576941465095,131,10
139.678075658556,35.6805163647474,132,3
139.677355065442,35.6585605068317,133,7
139.541972216373,35.7070297781999,134,3
139.363850260264,35.9680833742719,135,1
139.322214539483,35.5915327420081,136,9
139.600053073039,35.4368415930047,137,10
139.983096180556,35.7387107145212,138,6
139.683738482471,35.5922984654023,139,7
139.615167695573,35.3971387293738,140,10
139.71557476226,35.5230837470117,141,7
139.653508925614,35.4987090361597,142,7
139.393814438436,35.936823372256,143,1
139.418064168696,35.6748718550501,144,9
139.938201262784,35.385147770844,145,6
139.623411330938,35.3483706072504,146,10
139.434836079577,35.5715006483404,147,9
139.702157131306,35.601277386748,148,7
139.791821934318,35.7816957494209,149,8
139.409237838273,35.5251934450601,150,4
139.512240402301,35.6633938966323,151,9
139.371074343413,35.7523936971953,152,1
139.605080559584,35.6585002715257,153,3
139.383592898652,35.6498383445203,154,9
139.426975930078,35.3428855419468,155,4
139.514442251672,35.6199423911681,156,9
139.396620179298,35.4219947540386,157,4
